run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0127,item_pca10_l2_cosine,10,pca10_l2,cosine,20,60.0,0.158068,3250,1,637,0.196,2613,0.804,2613,0.804,1.0,2613,2613.0,2613.0
item_run_0128,item_pca10_l2_cosine,10,pca10_l2,cosine,20,70.0,0.187712,3250,1,392,0.12061538461538461,2858,0.8793846153846154,2858,0.8793846153846154,1.0,2858,2858.0,2858.0
item_run_0129,item_pca10_l2_cosine,10,pca10_l2,cosine,20,80.0,0.227974,3250,1,161,0.04953846153846154,3089,0.9504615384615385,3089,0.9504615384615385,1.0,3089,3089.0,3089.0
item_run_0130,item_pca10_l2_cosine,10,pca10_l2,cosine,20,85.0,0.25191,3250,1,77,0.023692307692307693,3173,0.9763076923076923,3173,0.9763076923076923,1.0,3173,3173.0,3173.0
item_run_0131,item_pca10_l2_cosine,10,pca10_l2,cosine,20,90.0,0.285707,3250,1,26,0.008,3224,0.992,3224,0.992,1.0,3224,3224.0,3224.0
item_run_0132,item_pca10_l2_cosine,10,pca10_l2,cosine,20,95.0,0.322232,3250,1,6,0.0018461538461538461,3244,0.9981538461538462,3244,0.9981538461538462,1.0,3244,3244.0,3244.0
item_run_0133,item_pca10_l2_cosine,10,pca10_l2,cosine,20,99.0,0.398982,3250,1,0,0.0,3250,1.0,3250,1.0,1.0,3250,3250.0,3250.0
item_run_0134,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,1.0,0.819678,3250,4,3161,0.9726153846153847,89,0.027384615384615386,74,0.02276923076923077,0.8314606741573034,5,5.0,22.25
item_run_0135,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,2.5,0.91014,3250,4,3072,0.9452307692307692,178,0.05476923076923077,155,0.047692307692307694,0.8707865168539326,5,9.0,44.5
item_run_0136,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,5.0,0.985492,3250,6,2930,0.9015384615384615,320,0.09846153846153846,290,0.08923076923076922,0.90625,4,5.0,53.333333333333336
item_run_0137,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,10.0,1.096904,3250,4,2659,0.8181538461538461,591,0.18184615384615385,578,0.17784615384615385,0.9780033840947546,3,5.0,147.75
item_run_0138,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,15.0,1.180477,3250,2,2409,0.7412307692307692,841,0.25876923076923075,839,0.2581538461538462,0.9976218787158145,2,420.5,420.5
item_run_0139,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,20.0,1.24274,3250,1,2202,0.6775384615384615,1048,0.32246153846153847,1048,0.32246153846153847,1.0,1048,1048.0,1048.0
item_run_0140,item_pca10_standardized_euclidean,10,pca10_standardized,euclidean,5,25.0,1.290668,3250,2,2041,0.628,1209,0.372,1205,0.3707692307692308,0.9966914805624483,4,604.5,604.5
