user_idx,user_id,user_cluster,score_source,precision_10,recall_10,hit_rate_10,ndcg_10
1550,1983,1,rating_user_knn,0.0,0.0,0.0,0.0
1551,1984,-1,mf,0.0,0.0,0.0,0.0
1551,1984,-1,rating_user_knn,0.0,0.0,0.0,0.0
1552,1985,0,mf,0.0,0.0,0.0,0.0
1552,1985,0,rating_user_knn,0.0,0.0,0.0,0.0
1553,1987,0,mf,0.0,0.0,0.0,0.0
1553,1987,0,rating_user_knn,0.0,0.0,0.0,0.0
1554,1988,1,mf,0.0,0.0,0.0,0.0
1554,1988,1,rating_user_knn,0.0,0.0,0.0,0.0
1555,1992,1,mf,0.0,0.0,0.0,0.0
1555,1992,1,rating_user_knn,0.0,0.0,0.0,0.0
1556,1995,0,mf,0.0,0.0,0.0,0.0
1556,1995,0,rating_user_knn,0.0,0.0,0.0,0.0
1557,1996,1,mf,0.0,0.0,0.0,0.0
1557,1996,1,rating_user_knn,0.0,0.0,0.0,0.0
1558,1997,1,mf,0.0,0.0,0.0,0.0
1558,1997,1,rating_user_knn,0.0,0.0,0.0,0.0
1559,1998,-1,mf,0.2,0.08333333333333333,1.0,0.3052348839397012
1559,1998,-1,rating_user_knn,0.0,0.0,0.0,0.0
1560,1999,0,mf,0.0,0.0,0.0,0.0
1560,1999,0,rating_user_knn,0.0,0.0,0.0,0.0
1561,2000,1,mf,0.0,0.0,0.0,0.0
1561,2000,1,rating_user_knn,0.0,0.0,0.0,0.0
1562,2001,-1,mf,0.0,0.0,0.0,0.0
1562,2001,-1,rating_user_knn,0.0,0.0,0.0,0.0
1563,2002,-1,mf,0.0,0.0,0.0,0.0
1563,2002,-1,rating_user_knn,0.0,0.0,0.0,0.0
1564,2003,0,mf,0.0,0.0,0.0,0.0
1564,2003,0,rating_user_knn,0.0,0.0,0.0,0.0
1565,2004,0,mf,0.0,0.0,0.0,0.0
1565,2004,0,rating_user_knn,0.0,0.0,0.0,0.0
1566,2005,1,mf,0.0,0.0,0.0,0.0
1566,2005,1,rating_user_knn,0.0,0.0,0.0,0.0
1567,2006,-1,mf,0.1,0.14285714285714285,1.0,0.11838279295536291
1567,2006,-1,rating_user_knn,0.0,0.0,0.0,0.0
1568,2007,-1,mf,0.0,0.0,0.0,0.0
1568,2007,-1,rating_user_knn,0.0,0.0,0.0,0.0
1569,2008,-1,mf,0.4,0.3333333333333333,1.0,0.43828689407543026
1569,2008,-1,rating_user_knn,0.0,0.0,0.0,0.0
1570,2009,1,mf,0.0,0.0,0.0,0.0
1570,2009,1,rating_user_knn,0.0,0.0,0.0,0.0
1571,2010,1,mf,0.0,0.0,0.0,0.0
1571,2010,1,rating_user_knn,0.0,0.0,0.0,0.0
1572,2011,0,mf,0.0,0.0,0.0,0.0
1572,2011,0,rating_user_knn,0.0,0.0,0.0,0.0
1573,2012,1,mf,0.1,0.125,1.0,0.2529427027676571
1573,2012,1,rating_user_knn,0.0,0.0,0.0,0.0
1574,2013,-1,mf,0.0,0.0,0.0,0.0
1574,2013,-1,rating_user_knn,0.0,0.0,0.0,0.0
1575,2014,-1,mf,0.1,0.16666666666666666,1.0,0.10086747116627115
1575,2014,-1,rating_user_knn,0.0,0.0,0.0,0.0
1576,2015,0,mf,0.4,0.12121212121212122,1.0,0.35705757165090457
1576,2015,0,rating_user_knn,0.0,0.0,0.0,0.0
1577,2016,-1,mf,0.0,0.0,0.0,0.0
1577,2016,-1,rating_user_knn,0.0,0.0,0.0,0.0
1578,2017,1,mf,0.2,0.15384615384615385,1.0,0.2172607128522299
1578,2017,1,rating_user_knn,0.0,0.0,0.0,0.0
1579,2018,1,mf,0.1,0.038461538461538464,1.0,0.06943122193677728
1579,2018,1,rating_user_knn,0.1,0.038461538461538464,1.0,0.2200917662980802
1580,2020,-1,mf,0.0,0.0,0.0,0.0
1580,2020,-1,rating_user_knn,0.0,0.0,0.0,0.0
1581,2021,0,mf,0.0,0.0,0.0,0.0
1581,2021,0,rating_user_knn,0.0,0.0,0.0,0.0
1582,2022,0,mf,0.1,0.05,1.0,0.06943122193677728
1582,2022,0,rating_user_knn,0.0,0.0,0.0,0.0
1583,2023,-1,mf,0.0,0.0,0.0,0.0
1583,2023,-1,rating_user_knn,0.0,0.0,0.0,0.0
1584,2024,0,mf,0.0,0.0,0.0,0.0
1584,2024,0,rating_user_knn,0.0,0.0,0.0,0.0
1585,2025,0,mf,0.1,0.07692307692307693,1.0,0.1100458831490401
1585,2025,0,rating_user_knn,0.0,0.0,0.0,0.0
1586,2026,-1,mf,0.0,0.0,0.0,0.0
1586,2026,-1,rating_user_knn,0.0,0.0,0.0,0.0
1587,2027,0,mf,0.1,0.125,1.0,0.2529427027676571
1587,2027,0,rating_user_knn,0.0,0.0,0.0,0.0
1588,2029,1,mf,0.0,0.0,0.0,0.0
1588,2029,1,rating_user_knn,0.0,0.0,0.0,0.0
1589,2030,1,mf,0.0,0.0,0.0,0.0
1589,2030,1,rating_user_knn,0.0,0.0,0.0,0.0
1590,2031,1,mf,0.0,0.0,0.0,0.0
1590,2031,1,rating_user_knn,0.0,0.0,0.0,0.0
1591,2032,0,mf,0.0,0.0,0.0,0.0
1591,2032,0,rating_user_knn,0.0,0.0,0.0,0.0
1592,2033,-1,mf,0.0,0.0,0.0,0.0
1592,2033,-1,rating_user_knn,0.0,0.0,0.0,0.0
1593,2035,-1,mf,0.1,0.14285714285714285,1.0,0.07945707943276742
1593,2035,-1,rating_user_knn,0.0,0.0,0.0,0.0
1594,2036,1,mf,0.0,0.0,0.0,0.0
1594,2036,1,rating_user_knn,0.0,0.0,0.0,0.0
1595,2038,-1,mf,0.2,0.07142857142857142,1.0,0.14279514403613736
1595,2038,-1,rating_user_knn,0.0,0.0,0.0,0.0
1596,2039,1,mf,0.0,0.0,0.0,0.0
1596,2039,1,rating_user_knn,0.0,0.0,0.0,0.0
1597,2040,0,mf,0.0,0.0,0.0,0.0
1597,2040,0,rating_user_knn,0.0,0.0,0.0,0.0
1598,2041,-1,mf,0.0,0.0,0.0,0.0
1598,2041,-1,rating_user_knn,0.0,0.0,0.0,0.0
1599,2042,-1,mf,0.3,0.15,1.0,0.3621108234757073
1599,2042,-1,rating_user_knn,0.0,0.0,0.0,0.0
1600,2043,0,mf,0.0,0.0,0.0,0.0
1600,2043,0,rating_user_knn,0.0,0.0,0.0,0.0
1601,2046,1,mf,0.0,0.0,0.0,0.0
1601,2046,1,rating_user_knn,0.0,0.0,0.0,0.0
1602,2047,1,mf,0.1,0.06666666666666667,1.0,0.09478836436955079
1602,2047,1,rating_user_knn,0.0,0.0,0.0,0.0
1603,2050,-1,mf,0.0,0.0,0.0,0.0
1603,2050,-1,rating_user_knn,0.0,0.0,0.0,0.0
1604,2051,1,mf,0.0,0.0,0.0,0.0
1604,2051,1,rating_user_knn,0.0,0.0,0.0,0.0
1605,2054,0,mf,0.2,0.1111111111111111,1.0,0.3301376494471203
1605,2054,0,rating_user_knn,0.0,0.0,0.0,0.0
1606,2055,-1,mf,0.0,0.0,0.0,0.0
1606,2055,-1,rating_user_knn,0.0,0.0,0.0,0.0
1607,2056,-1,mf,0.1,0.05,1.0,0.09478836436955079
1607,2056,-1,rating_user_knn,0.0,0.0,0.0,0.0
1608,2057,1,mf,0.0,0.0,0.0,0.0
